datetime_beginning_utc,datetime_beginning_ept,pnode_id,pnode_name,voltage,equipment,type,zone,system_energy_price_rt,total_lmp_rt,congestion_price_rt,marginal_loss_price_rt,row_is_current,version_nbr
1/6/2019 12:00:00 PM,1/6/2019 7:00:00 AM,1,PJM-RTO,,,ZONE,,20.310000,20.324645,0.000000,0.011312,True,1
1/6/2019 1:00:00 PM,1/6/2019 8:00:00 AM,1,PJM-RTO,,,ZONE,,20.360000,20.367822,0.001011,0.008478,True,1
1/6/2019 2:00:00 PM,1/6/2019 9:00:00 AM,1,PJM-RTO,,,ZONE,,19.560000,19.575102,0.006602,0.007667,True,1
1/6/2019 3:00:00 PM,1/6/2019 10:00:00 AM,1,PJM-RTO,,,ZONE,,19.240000,19.254863,0.000000,0.010696,True,1
1/6/2019 4:00:00 PM,1/6/2019 11:00:00 AM,1,PJM-RTO,,,ZONE,,18.890000,18.902361,0.000000,0.009028,True,1
1/6/2019 5:00:00 PM,1/6/2019 12:00:00 PM,1,PJM-RTO,,,ZONE,,18.800000,18.810672,0.000000,0.008172,True,1
1/6/2019 6:00:00 PM,1/6/2019 1:00:00 PM,1,PJM-RTO,,,ZONE,,18.210000,18.219762,0.000000,0.009762,True,1
1/6/2019 7:00:00 PM,1/6/2019 2:00:00 PM,1,PJM-RTO,,,ZONE,,18.210000,18.223770,0.000000,0.009604,True,1
1/6/2019 8:00:00 PM,1/6/2019 3:00:00 PM,1,PJM-RTO,,,ZONE,,18.850000,18.855747,0.000000,0.009080,True,1
1/6/2019 9:00:00 PM,1/6/2019 4:00:00 PM,1,PJM-RTO,,,ZONE,,20.450000,20.458333,-0.000123,0.009289,True,1
1/6/2019 10:00:00 PM,1/6/2019 5:00:00 PM,1,PJM-RTO,,,ZONE,,24.730000,24.763471,0.017927,0.013044,True,1
1/6/2019 11:00:00 PM,1/6/2019 6:00:00 PM,1,PJM-RTO,,,ZONE,,24.080000,24.093524,-0.000026,0.012717,True,1
1/7/2019 12:00:00 AM,1/6/2019 7:00:00 PM,1,PJM-RTO,,,ZONE,,22.530000,22.542167,0.003060,0.010773,True,1
1/7/2019 1:00:00 AM,1/6/2019 8:00:00 PM,1,PJM-RTO,,,ZONE,,21.740000,21.750482,0.003020,0.011628,True,1
